,name,temp,humidity,cloudiness,latitude,wind
0,Kapaa,298.55,78,90,22.08,10.3
1,Rikitea,298.2,75,71,-23.12,7.5
2,Lebu,284.71,83,15,8.96,1.16
3,Yellowknife,257.15,84,90,62.45,5.7
4,Montepuez,294.81,97,100,-13.13,1.02
5,Punta Arenas,284.99,54,75,-53.16,6.2
6,Chuy,293.32,79,7,-33.69,5.23
7,Ushuaia,287.15,84,40,-54.81,3.6
8,Hobart,288.71,38,75,-42.88,4.6
9,Atuona,300.6,68,18,-9.8,2.85
10,Geraldton,264.15,78,90,49.72,4.6
11,Greensburg,287.44,71,1,30.83,3.6
12,Kamphaeng Phet,295.21,67,70,16.47,0.73
13,Pisco,294.98,30,94,-13.71,10.8
14,Saint-Philippe,271.86,86,90,45.36,4.1
15,The Valley,299.21,69,40,18.22,4.1
16,Alvorada,297.04,65,20,-30.0,8.2
17,Louisville,275.93,79,90,38.25,7.2
18,Teacapan,295.19,50,31,22.54,1.41
19,Las Juntas,294.82,46,56,10.28,6.88
20,Mega,292.2,60,22,4.06,4.29
21,Avarua,300.15,94,0,-21.21,2.6
22,Busselton,290.45,34,0,-33.64,2.93
23,Port Hardy,278.15,93,90,50.7,4.1
24,Chinhoyi,292.34,93,90,-17.36,2.41
25,Rome,279.53,93,40,41.89,1.5
26,Port Alfred,294.82,99,88,-33.59,1.79
27,New Norfolk,289.06,38,75,-42.78,4.6
28,Kirakira,302.05,71,41,-10.46,4.8
29,Jutai,296.54,97,100,-1.71,1.4
30,Fortuna,284.48,66,20,40.6,4.6
31,Longyearbyen,258.15,65,20,78.22,4.1
32,Arraial do Cabo,297.15,94,90,-22.97,1.5
33,Vaini,288.28,74,0,15.34,1.25
34,Anadyr,238.15,66,0,64.73,2.0
35,Hermanus,290.44,91,8,-34.42,6.95
36,Hofn,280.11,75,34,64.25,16.13
37,Cayenne,300.15,78,20,4.94,2.1
38,Blythe,293.16,28,1,33.61,2.6
39,Sioux Lookout,267.15,79,90,50.1,1.0
40,Valle del Guamuez,305.15,59,20,0.45,2.6
41,Bredasdorp,290.45,72,55,-34.53,2.1
42,Mataura,287.04,73,99,-46.19,10.28
43,Mayo,251.15,69,90,63.59,3.6
44,Lucapa,291.74,96,100,-8.42,1.4
45,Aquin,298.5,80,50,18.28,2.34
46,Nikolskoye,273.66,74,90,59.7,7.0
47,Ilulissat,261.15,72,95,69.22,3.1
48,Karaton,299.14,88,40,-6.34,3.1
49,San Patricio,298.72,52,11,-26.98,2.05
50,Iqaluit,243.15,67,40,63.75,12.3
51,Codrington,300.23,57,0,-28.95,1.0
52,Mount Gambier,289.15,63,100,-37.83,6.2
53,Cortez,275.31,55,1,37.35,2.1
54,Upernavik,235.71,96,63,72.79,5.44
55,Saint George,276.0,64,98,39.45,2.1
56,Qaanaaq,232.95,56,0,77.48,2.89
57,Alenquer,300.15,94,75,-1.95,1.38
58,Abalak,286.13,31,0,15.46,6.7
59,Waingapu,301.66,76,100,-9.65,12.87
60,Sao Filipe,294.37,76,20,14.9,6.29
61,Saravan,274.15,86,75,39.72,2.1
62,Corn Island,300.84,78,16,12.17,9.1
63,Gamba,257.53,85,100,28.28,3.05
64,High Level,254.15,84,75,58.52,4.1
65,Mattru,293.97,68,5,7.62,0.58
66,Vilhena,296.15,100,75,-12.74,2.1
67,Severo-Kurilsk,265.97,80,100,50.68,2.65
68,Khatanga,244.74,85,0,71.98,4.07
69,Namatanai,300.0,79,100,-3.66,0.95
70,Harper,293.17,15,1,30.3,3.1
71,Hilo,296.03,78,75,19.71,2.1
72,Bluff,300.6,45,62,-23.58,3.59
73,Vilyuysk,246.97,98,97,63.75,1.58
74,Dikson,256.93,90,100,73.51,10.92
75,Shiraoi,262.5,84,20,42.56,0.5
76,Castro,289.15,55,1,-42.48,3.6
77,Vangaindrano,294.27,96,10,-23.35,1.54
78,Rtishchevo,273.62,94,100,52.26,6.35
79,Ereymentau,265.82,90,100,51.62,7.65
80,Sinnamary,299.65,80,76,5.38,6.71
81,Hasaki,272.04,62,20,35.73,10.41
82,Laguna,301.15,69,40,16.17,4.1
83,Ranot,300.15,76,47,7.78,7.87
84,Northam,293.28,30,0,-31.65,8.7
85,Victoria,299.44,83,75,5.28,1.0
86,Tasiilaq,270.15,92,100,65.61,2.23
87,Taree,300.64,54,90,-31.91,5.1
88,Lavrentiya,249.48,85,83,65.58,4.73
89,Lakes Entrance,287.74,76,93,-37.88,0.45
90,Yarada,297.8,81,75,17.65,6.52
91,Cape Town,291.07,82,20,-33.93,1.5
92,Ribeira Grande,289.19,87,100,38.52,8.33
93,Talnakh,256.15,77,100,69.49,10.0
94,Vila Velha,301.55,69,20,-3.71,2.6
95,Mar del Plata,288.32,58,28,-46.43,5.56
96,The Pas,265.15,85,90,53.82,6.7
97,Torbay,273.46,91,90,47.66,3.1
98,Bukoba,297.5,62,70,-1.33,2.34
99,Inuvik,241.88,74,75,68.36,1.5
100,Beaufort,298.26,83,75,5.36,1.0
101,Nanortalik,272.74,81,100,60.14,8.71
102,Road Town,298.89,74,40,18.42,3.1
103,Yarim,284.92,95,30,14.3,2.2
104,Pedana,294.06,97,4,16.26,2.18
105,Leningradskiy,250.01,63,17,69.38,0.58
106,Muros,278.64,100,40,42.77,3.1
107,Hithadhoo,301.63,67,94,-0.6,2.67
108,Amarpur,288.22,91,79,23.52,0.88
109,Ponta do Sol,294.17,87,100,-20.63,0.42
110,Ust-Nera,248.31,94,83,64.57,0.79
111,Klaksvik,282.15,93,100,62.23,3.1
112,Ambilobe,298.86,85,67,-13.19,1.96
113,Saurimo,291.28,97,100,-9.66,1.09
114,Lata,254.74,52,20,30.78,4.15
115,Ciudad Bolivar,300.1,61,1,8.12,4.72
116,Lamu,265.6,82,95,35.77,2.44
117,Meiktila,291.35,87,21,20.88,1.07
118,Shu,273.71,94,71,43.6,1.79
119,Hambantota,299.01,85,14,6.12,7.23
120,Cabo San Lucas,296.76,60,5,22.89,4.1
121,Luwingu,290.78,96,100,-10.26,1.27
122,Padang,294.03,89,85,-0.92,2.68
123,Yibin,283.46,66,98,28.77,0.42
124,Albany,275.17,86,90,42.65,2.1
125,Carnarvon,292.19,28,50,-30.97,3.7
126,Popondetta,298.28,74,66,-8.77,1.95
127,Mochalishche,271.15,92,90,56.33,6.0
128,Port Elizabeth,284.14,93,90,39.31,1.5
129,Butaritari,302.62,77,68,3.07,5.83
130,Paducah,277.3,69,90,37.08,3.1
131,Shelburne,272.66,92,90,44.08,5.95
132,Ingham,302.87,53,18,-18.65,2.09
133,Ayan,262.49,82,62,38.23,3.73
134,Longonjo,288.81,98,100,-12.91,1.73
135,Bandarbeyla,298.18,78,53,9.49,7.17
136,Tiksi,246.49,84,85,71.64,4.77
137,Port Hedland,300.15,54,100,-20.31,7.2
138,Doka,293.28,44,2,13.52,6.7
139,Bethel,248.84,76,1,60.79,3.6
140,Souillac,274.76,93,0,45.6,2.87
141,Bambous Virieux,298.43,94,75,-20.34,6.33
142,Traipu,298.63,75,97,-9.97,5.47
143,Olinda,285.33,93,75,-37.84,4.6
144,Morondava,297.74,85,0,-20.3,1.18
145,Richards Bay,298.9,79,81,-28.77,11.68
146,Takoradi,299.46,58,27,4.89,2.21
147,Cockburn Town,299.15,78,40,21.46,6.2
148,Jacona,277.74,48,1,35.89,1.5
149,Port Lincoln,288.52,79,100,-34.72,8.07
150,Sao Joao da Barra,297.97,90,85,-21.64,3.2
151,Muthill,281.33,81,75,56.33,5.7
152,Dzheguta,271.59,37,0,43.97,2.47
153,Puerto Maldonado,274.15,100,75,-12.59,1.5
154,Esperance,287.15,71,0,-33.86,6.2
155,Alice Springs,293.15,72,75,-23.7,4.6
156,Georgetown,300.06,74,20,6.8,3.1
157,Bud,272.99,69,98,62.91,7.2
158,Bilibino,252.88,50,0,68.06,0.89
159,Impfondo,295.66,36,69,1.62,0.83
160,Mehran,284.19,59,0,33.12,4.08
161,Jamestown,284.81,55,100,-33.21,7.73
162,Rio Grande,297.22,61,0,-32.03,7.2
163,Kailua,297.39,94,90,21.39,7.2
164,Virden,268.16,94,100,49.85,3.1
165,Matagami,291.15,30,37,9.67,2.93
166,Santa Rosa,295.69,71,59,-36.62,7.75
167,Kushima,274.66,67,20,31.5,4.1
168,Rajampet,293.92,95,87,14.19,1.68
169,Kaitangata,285.13,73,99,-46.28,14.75
170,Wajima,277.85,69,100,37.4,8.81
171,Rudnogorsk,261.7,97,94,57.27,2.31
172,Biloela,300.83,46,0,-24.4,1.69
173,East London,297.04,93,42,-33.02,0.38
174,Kodiak,277.6,48,1,39.95,3.6
175,Isangel,302.15,62,20,-19.55,7.7
176,Saint-Georges,271.67,100,100,46.12,0.78
177,Camacha,289.72,82,40,33.08,3.6
178,Baykit,262.79,92,100,61.68,3.25
179,Husavik,269.24,95,100,50.56,3.58
180,Chagoda,272.67,83,87,59.16,4.22
181,Rauma,272.15,50,0,61.13,6.7
182,Santa Maria,294.49,94,90,-16.02,2.1
183,San Ramon,298.15,50,40,12.92,4.1
184,Port-Gentil,300.15,94,75,-0.72,3.6
185,Umarizal,298.19,76,95,-5.99,4.65
186,Quelimane,299.69,86,53,-17.88,3.22
187,Shieli,271.2,82,56,44.18,1.39
188,Pauini,296.58,97,100,-7.71,0.79
189,Narsaq,269.15,92,100,60.91,2.1
190,Dongying,275.23,70,100,37.43,2.68
191,Salalah,298.15,69,20,17.01,4.1
192,Saskylakh,244.11,96,49,71.97,2.91
193,Pathein,296.54,76,0,16.78,1.5
194,Potamia,278.18,57,100,41.03,0.89
195,Lhokseumawe,294.88,89,76,5.18,0.9
196,Puerto Ayora,300.18,58,20,-0.74,6.7
197,Aklavik,241.33,67,40,68.22,3.1
198,Mahebourg,298.44,94,75,-20.41,3.08
199,Aykhal,244.15,75,40,65.95,2.0
200,Severnoye,271.74,95,100,54.09,6.58
201,Isla Vista,289.23,63,1,34.41,2.1
202,Muli,277.83,94,98,28.08,1.25
203,Vila Franca do Campo,290.15,93,20,37.72,4.6
204,Tuktoyaktuk,241.15,67,20,69.44,5.7
205,Semey,261.93,88,0,50.41,4.69
206,Jacareacanga,296.7,88,65,-6.22,0.39
207,Waiuku,292.81,59,100,-37.25,7.7
208,Port Augusta,285.37,86,100,-32.49,1.34
209,Vestmannaeyjar,279.98,74,96,63.44,12.83
210,Areka,293.83,72,91,7.07,0.64
211,Alyangula,302.15,83,88,-13.85,1.0
212,Halifax,275.74,80,90,44.65,1.5
213,Mount Vernon,282.58,87,20,38.73,2.6
214,Pevek,252.3,64,0,69.7,1.32
215,Rabak,291.37,19,0,13.18,7.64
216,Tura,257.08,96,100,64.27,2.96
217,Sursk,273.71,77,100,53.07,5.79
218,Atlantis,291.09,82,20,-33.57,1.5
219,Karratha,302.52,70,72,-20.74,10.38
220,Donskoye,269.15,92,0,45.45,4.0
221,Novikovo,271.75,97,100,51.15,2.78
222,Broken Hill,292.15,29,57,-31.97,13.4
223,Nakamura,278.59,56,20,35.17,9.8
224,Tazovskiy,264.63,92,100,67.47,8.79
225,Yulara,290.15,93,90,-25.24,6.2
226,Moscow,273.67,85,75,55.75,5.0
227,Jhunjhunun,282.98,53,3,28.13,1.82
228,Lorengau,302.53,72,95,-2.02,4.0
229,Barrow,293.77,76,87,-38.31,5.76
230,Tabou,295.76,67,7,4.42,0.76
231,Belmonte,276.24,59,0,40.36,4.47
232,Luderitz,290.15,83,0,-26.65,10.35
233,Kindu,293.96,99,100,-2.95,0.63
234,Penzance,282.35,87,100,50.12,4.1
235,Laukaa,271.38,86,90,62.42,7.2
236,Nome,290.61,42,1,30.04,2.6
237,Urucara,299.04,73,54,-2.54,0.1
238,Chokurdakh,247.2,99,75,70.62,1.38
239,Ugoofaaru,300.45,82,65,5.67,5.18
240,Carutapera,300.82,76,100,-1.2,4.42
241,Muzhi,270.2,73,66,65.4,8.83
242,Carauari,297.37,96,100,-4.88,1.15
243,Clyde River,237.15,73,5,70.47,5.1
244,Ewa Beach,297.35,94,90,21.32,7.2
245,Juneau,271.57,80,90,58.3,1.82
246,Senador Guiomard,300.15,88,40,-10.15,1.5
247,Guerrero Negro,293.38,31,0,27.97,3.6
248,Katsuura,278.48,56,75,33.93,5.1
249,Maldonado,297.15,64,20,-34.91,6.7
250,Atambua,300.77,70,100,-9.11,1.51
251,Vitim,262.14,95,100,59.44,2.32
252,Airai,298.3,65,97,-8.93,1.7
253,Navirai,295.07,91,56,-23.07,1.62
254,Dingle,297.42,90,10,11.0,6.04
255,Mount Isa,306.15,46,94,-20.73,4.6
256,Sitka,287.04,38,0,37.17,4.47
257,Thompson,256.15,84,90,55.74,1.5
258,San Andres,297.97,77,78,13.32,6.78
259,Issoudun,276.04,100,20,46.95,2.1
260,Yar-Sale,271.45,95,100,66.83,8.41
261,Agadez,286.35,25,0,16.97,6.38
262,Cururupu,296.77,95,100,-1.82,1.15
263,Bonavista,271.34,86,48,48.65,4.71
264,Chulym,269.13,91,100,55.09,7.87
265,Jinchang,266.02,50,100,38.52,2.14
266,Baruun-Urt,260.08,71,36,46.68,2.02
267,San Fernando,299.23,69,20,10.28,3.1
268,Kautokeino,261.55,79,38,69.01,5.61
269,Cidreira,296.03,82,25,-30.17,8.42
270,Mandurah,293.06,40,0,-32.55,5.1
271,Asahikawa,263.15,85,75,43.76,2.1
272,Chuzhou,280.93,92,100,32.25,0.45
273,Araouane,287.3,22,18,18.9,4.46
274,Ballymena,281.07,100,90,54.87,5.1
275,Tarashcha,273.39,90,94,49.56,2.51
276,Lasa,285.25,67,75,34.92,5.7
277,Taoudenni,286.41,25,0,22.68,4.28
278,Jalu,282.45,81,0,29.03,3.64
279,Bubaque,298.87,56,20,11.28,3.29
280,Saint-Denis,279.79,70,90,48.94,2.1
281,Toktogul,260.28,62,52,41.87,2.17
282,Te Anau,282.32,77,100,-45.41,6.2
283,Segou,293.37,12,43,12.41,2.13
284,Samana,304.56,59,20,0.12,2.6
285,Cuiaba,306.15,41,40,-15.6,2.1
286,Teknaf,290.73,98,74,20.86,0.59
287,Filimonovo,273.15,93,100,54.21,1.79
288,Arman,267.79,68,100,59.7,6.43
289,Kieta,302.16,69,34,-6.22,1.19
290,Seddon,285.31,93,75,-37.81,4.6
291,Ust-Kuyga,240.44,99,50,70.0,2.24
292,Pierre,275.3,80,1,44.37,4.1
293,Puerto Cabello,297.68,77,8,10.47,2.43
294,Goderich,272.72,71,97,43.74,1.34
295,San Julian,299.72,84,99,11.75,6.08
296,Saldanha,275.5,87,1,41.42,1.47
297,Toora-Khem,254.38,95,87,52.47,0.84
298,Duderstadt,274.57,100,0,51.51,0.89
299,Half Moon Bay,286.94,63,75,37.46,3.6
300,Alexandria,279.82,63,100,43.97,3.13
301,Tautira,303.15,66,40,-17.73,3.6
302,Savannah Bight,300.53,79,21,16.45,6.17
303,Yumen,263.28,73,100,40.29,4.04
304,Trebinje,278.4,45,67,42.71,3.1
305,Bafata,292.42,52,0,12.17,1.9
306,Porgera,286.75,97,100,-5.46,0.28
307,Broome,278.56,87,70,52.47,2.6
308,Praia da Vitoria,290.15,93,20,38.73,10.44
309,Petropavlovsk-Kamchatskiy,266.15,79,20,53.05,3.0
310,Dasoguz,268.15,92,30,41.84,3.1
311,Jos,286.13,39,19,9.92,2.62
312,Ihtiman,276.31,82,20,42.44,4.6
313,Nizhniy Baskunchak,271.23,93,0,48.22,3.7
314,Grand Gaube,298.38,94,75,-20.01,5.14
315,Hovd,274.01,86,40,63.83,7.2
316,Winnemucca,283.15,37,1,40.97,4.6
317,Touros,300.15,74,20,-5.2,4.6
318,Belgatoy,272.15,92,90,43.19,3.0
319,Poum,272.85,72,75,41.28,1.89
320,Vanavara,262.82,95,100,60.35,3.23
321,Pyaozerskiy,264.05,79,52,65.83,6.03
322,Lubumbashi,290.36,98,100,-11.66,1.6
323,Cherskiy,253.81,58,31,68.75,3.15
324,Cap Malheureux,298.37,94,75,-19.98,5.14
325,Port Hawkesbury,272.33,100,1,45.62,0.45
326,Basco,272.75,86,90,40.33,5.1
327,Anamur,278.15,93,4,36.08,2.6
328,Ngunguru,295.1,57,88,-35.62,2.24
329,Forest Grove,280.24,81,75,45.52,3.1
330,Srednekolymsk,256.23,50,87,67.46,1.43
331,Belyy Yar,262.15,85,100,53.6,2.1
332,Lahij,296.71,77,50,13.06,2.85
333,Pacific Grove,287.04,76,90,36.62,2.6
334,Vila,276.85,80,0,45.18,4.6
335,Vao,272.19,66,42,59.1,5.01
336,Winona,274.68,74,90,43.21,4.1
337,Lujan,288.32,58,28,-46.57,5.56
338,Dogondoutchi,289.76,23,5,13.64,5.41
339,Sundargarh,288.67,82,68,22.12,2.51
340,Cabedelo,300.15,74,66,-6.97,3.6
341,Rizhao,277.52,68,100,35.43,1.95
342,Dauphin,268.15,92,75,51.15,7.7
343,Caravelas,298.22,85,100,-17.73,4.49
344,Bathsheba,299.15,74,75,13.22,5.7
345,Nan,290.38,83,0,18.78,1.0
346,Haines Junction,247.85,97,99,60.75,1.63
347,Orbetello,279.95,93,7,42.44,4.51
348,Tevriz,263.07,95,100,57.51,2.96
349,Hami,263.58,62,0,42.84,0.28
350,Aviles,283.46,81,90,43.55,2.1
351,Beihai,268.15,79,34,38.95,2.0
352,Tongliao,262.05,81,0,43.61,2.64
353,Evensk,260.89,49,82,61.92,2.15
354,Tuatapere,287.04,73,100,-46.13,10.28
355,Rawson,287.92,79,0,-43.3,9.15
356,Vardo,281.53,66,90,39.62,6.2
357,Ust-Kut,262.91,96,96,56.78,2.0
358,Namibe,296.7,91,99,-15.19,5.22
359,Freetown,299.15,88,40,26.61,6.2
360,Vernon,279.15,45,20,50.27,5.1
361,Ternate,297.96,83,40,14.29,1.5
362,Abdanan,277.74,73,0,32.99,0.86
363,Sungaipenuh,291.29,97,99,-2.08,1.16
364,Yaring,299.72,79,86,6.87,7.93
365,Prenzlau,275.18,70,0,53.32,1.79
366,Seryshevo,247.83,98,40,51.09,0.8
367,Honiara,303.15,74,75,-9.43,3.6
368,Awbari,279.75,61,0,26.59,2.06
369,Mahina,292.91,11,43,13.76,4.2
370,Kiama,293.6,82,90,-34.67,6.2
371,Faanui,300.83,76,100,-16.48,4.82
372,Pringsewu,296.07,96,100,-5.36,1.29
373,Sulangan,300.11,78,31,11.14,7.04
374,Bhag,288.43,39,44,29.04,2.23
375,Kaeo,296.27,57,98,-35.1,4.47
376,Doha,294.41,37,44,25.29,1.0
377,Ancud,289.15,55,12,-41.87,3.6
378,Tallahassee,288.74,41,1,30.44,7.7
379,Ayr,301.48,69,58,-19.58,0.45
380,San Cristobal,293.43,82,57,14.68,3.06
381,Languyan,280.43,70,90,48.3,1.5
382,San Pedro,298.71,26,0,-33.68,0.45
383,Cooma,285.15,46,90,-36.24,4.1
384,Ileza,271.67,96,100,61.05,2.0
385,Fairbanks,241.11,73,20,64.84,0.99
386,Atar,286.38,23,0,20.52,4.85
387,Zapolyarnyy,264.15,85,94,69.43,13.4
388,Burnie,289.55,55,100,-41.05,6.71
389,College,240.58,73,20,64.86,1.27
390,Kalabo,293.7,88,100,-15.0,3.68
391,Bull Savanna,295.03,92,12,17.89,0.89
392,Bontang,299.56,80,100,0.12,4.76
393,Meulaboh,300.09,80,10,4.14,2.51
394,Pangkalanbuun,298.48,94,98,-2.68,0.42
395,Washington DC.,282.45,81,90,38.9,6.2
396,Barcelos,299.01,68,45,-0.97,1.15
397,Vostok,252.08,96,100,46.45,2.02
398,Tecoanapa,302.15,70,40,16.99,2.1
399,Wenling,284.82,94,100,28.38,4.28
400,Sola,291.42,84,1,-3.17,2.04
401,Berdigestyakh,249.3,98,95,62.1,1.21
402,Adrar,281.15,33,49,27.87,4.6
403,Noyabrsk,268.23,94,100,63.2,9.12
404,Provideniya,248.76,75,65,64.42,4.52
405,Fergus Falls,267.2,85,1,46.28,7.2
406,Gladstone,301.99,58,40,-23.84,5.1
407,Winchester,279.62,93,100,51.06,3.1
408,Vanimo,300.44,81,100,-2.67,4.78
409,Mersing,299.57,83,67,2.43,8.67
410,Manlleu,278.35,93,0,42.0,0.5
411,Yunhe,284.93,92,99,28.12,1.47
412,Marly,278.76,86,75,50.34,3.6
413,La Mana,289.21,59,40,-0.93,6.7
414,Gat,294.15,56,15,14.69,4.6
415,Pangnirtung,252.15,63,20,66.15,9.8
416,Hirara,290.63,88,40,24.8,3.1
417,Miranda,299.96,63,34,-20.24,2.31
418,Exu,299.15,74,90,-7.52,2.1
419,Strezhevoy,269.15,92,90,60.73,5.0
420,Kozhevnikovo,269.26,87,100,56.26,6.01
421,Fethiye,282.15,57,0,36.62,4.1
422,Avera,286.63,35,1,33.19,4.1
423,Hue,293.15,94,40,16.47,0.5
424,Calabozo,300.99,39,0,8.92,3.05
425,Karatau,275.37,100,99,43.18,0.98
426,Tilichiki,254.45,66,92,60.47,2.61
427,Acajutla,302.04,38,20,13.59,3.1
428,Enshi,278.04,96,100,30.29,0.25
429,Gejiu,283.7,96,7,23.36,2.74
430,Eureka,284.39,66,20,40.8,4.6
431,Hanko,273.51,61,0,59.83,4.02
432,Atasu,262.16,87,0,48.68,1.27
433,Melenki,272.08,92,90,55.94,5.0
434,Prieska,296.18,15,0,-29.67,2.79
435,Santa Cruz,296.83,79,64,-6.22,2.66
436,Bassar,292.89,26,0,9.26,1.75
437,Okhotsk,263.89,92,100,59.36,2.79
438,Kenora,269.01,79,100,49.76,4.1
439,Beisfjord,268.28,85,98,68.38,5.1
440,West Odessa,290.24,19,1,31.84,5.7
441,Merrill,277.17,60,1,42.03,3.6
442,Kazachinskoye,262.28,89,87,57.69,3.74
443,Gorontalo,298.63,86,100,0.54,1.25
444,Kharp,265.56,90,92,66.82,3.44
445,Tezu,284.79,97,83,27.93,0.68
446,Omachi,273.2,81,75,36.5,1.5
447,Dudinka,256.15,77,100,69.41,10.0
448,Inhambane,298.8,82,52,-23.87,5.53
449,Bani,299.17,74,0,16.02,1.09
450,Tabuk,294.21,90,57,17.41,3.14
451,Pizarro,299.88,83,39,4.95,4.66
452,Varkaus,271.33,74,90,62.32,9.3
453,Siocon,299.82,76,26,11.03,0.45
454,Beloha,295.6,89,6,-25.17,5.28
455,Mangit,271.15,86,65,40.6,1.0
456,Tigre,299.86,44,0,-34.42,4.1
457,Turukhansk,261.18,93,100,65.8,5.78
458,Thinadhoo,301.3,70,34,0.53,1.61
459,Berlevag,270.67,72,100,70.86,15.52
460,Polican,275.73,85,50,40.61,0.38
461,Neiafu,302.15,66,20,-18.65,4.6
462,Bilma,281.6,37,0,18.69,1.11
463,Puerto Ayacucho,306.15,46,19,5.66,3.1
464,Peno,272.15,89,91,56.92,4.73
465,Deputatskiy,251.64,84,100,69.3,0.84
466,Puntilla Aldama,288.17,74,11,20.19,0.66
467,Mayumba,300.04,82,100,-3.44,2.5
468,Praia,296.15,83,40,-20.25,3.84
469,Soyo,298.43,89,100,-6.13,1.65
470,Viedma,288.6,74,1,-40.81,6.77
471,Belle Fourche,280.25,48,1,44.67,6.7
472,Lander,275.4,30,1,42.83,9.3
473,Kichmengskiy Gorodok,270.87,94,100,59.99,3.16
474,Plettenberg Bay,293.71,91,74,-34.05,2.43
475,Sorland,273.57,60,97,67.67,6.79
476,Coquimbo,290.15,77,40,-29.95,5.1
477,Diu,294.58,60,0,20.71,10.34
478,Saint-Pierre,278.12,93,90,48.95,1.5
479,Lebanon,281.74,70,90,40.34,1.5
480,Bartica,299.15,78,87,6.41,5.1
481,Bosaso,298.1,80,19,11.28,7.54
482,Caucaia,301.58,69,20,-3.73,2.6
483,Kosh-Agach,249.96,94,94,49.99,0.61
484,Segovia,277.03,73,0,40.95,1.5
485,Emporia,280.69,33,1,38.4,4.6
486,Eyl,298.38,83,45,7.98,8.59
487,Carballo,277.19,100,0,43.21,2.1
488,Nesbyen,265.93,74,43,60.57,1.69
489,Kyabe,293.31,27,22,9.45,2.31
490,Kimbe,305.27,57,97,-5.56,0.81
491,Killybegs,281.48,94,98,54.63,2.68
492,Chicama,295.15,83,20,-7.84,4.6
493,Dubti,296.08,65,0,11.74,2.18
494,Tromso,270.05,79,20,69.65,2.6
495,Torrijos,279.22,10,0,39.98,1.57
496,Mocuba,297.09,98,98,-16.84,0.93
497,San Vicente,302.15,66,75,-0.59,4.6
498,Beringovskiy,251.36,72,0,63.05,8.15
499,Morehead,275.2,74,90,38.18,5.1
500,Soure,279.88,87,0,40.06,1.5
501,Koppies,293.32,56,70,-27.24,1.89
502,Zhaoqing,289.94,82,100,23.05,1.18
503,Chimbote,296.09,71,82,-9.08,3.36
504,Along,281.46,96,37,28.17,1.01
505,Tikhvin,272.59,93,78,59.64,0.89
506,Kingaroy,298.97,64,7,-26.54,3.6
507,Motygino,261.15,94,100,58.18,2.62
508,Faya,288.67,82,20,18.39,4.6
509,Margate,289.05,38,75,-43.03,4.6
510,Willmar,268.3,85,1,45.12,4.6
511,Amahai,301.21,77,98,-3.31,4.47
512,Ambalavao,289.26,97,72,-21.83,1.62
513,Ende,301.71,76,100,-8.84,5.26
514,Westport,280.92,100,90,41.14,1.5
515,Vagur,281.78,95,100,61.47,13.44
516,Paita,290.15,100,92,-5.09,7.2
517,Comodoro Rivadavia,291.15,48,40,-45.87,9.3
518,Nampula,296.15,94,75,-15.12,3.1
519,Waipawa,292.59,53,62,-39.94,5.36
520,Ponca City,282.23,45,1,36.73,4.1
521,Omboue,297.34,94,100,-1.57,1.19
522,Fort Nelson,254.15,64,40,58.81,2.6
523,Sarkand,265.82,56,2,45.41,1.73
524,Ken Caryl,286.09,19,75,39.58,3.57
525,Orlik,274.19,74,75,53.95,7.7
526,Lompoc,289.83,63,1,34.64,2.1
527,Anzio,279.12,93,37,41.45,1.5
528,Shingu,280.74,62,0,33.72,7.68
529,Saint-Augustin,271.87,92,40,45.63,1.5
530,Ogdensburg,272.79,93,90,44.69,2.6
531,Aksu,268.15,85,91,52.04,3.0
532,Sahuaripa,287.29,41,0,29.05,1.27
533,Nouadhibou,290.15,45,0,20.93,4.1
534,Mangan,271.71,88,99,27.5,3.13
535,Hobyo,298.17,84,4,5.35,5.54
536,Burns Lake,268.89,86,50,54.23,2.7
537,Warner Robins,286.37,52,40,32.62,9.3
538,Sao Gabriel da Cachoeira,297.36,90,92,-0.13,1.09
539,Constitucion,290.15,17,5,23.99,1.5
540,Kutum,284.1,31,0,14.2,2.07
541,Seoul,266.67,92,1,37.57,1.0
542,Cristobal Obregon,295.15,56,40,16.35,10.8
543,Foki,270.68,94,100,56.69,4.15
544,Huainan,279.28,87,100,32.59,6.8
545,Grindavik,276.75,93,75,63.84,12.9
546,Necochea,294.96,66,30,-38.55,2.77
547,Sereflikochisar,273.07,78,36,38.94,1.87
548,Presque Isle,272.54,74,90,46.68,1.5
549,Snasa,266.73,96,100,64.25,3.15
550,Flin Flon,263.15,85,90,54.77,4.1
551,Trinidad,303.15,74,75,-14.83,1.46
552,Uryupinsk,274.82,86,100,50.8,5.08
553,Kargil,249.76,86,98,34.56,2.31
554,San Jose,291.83,79,99,14.25,3.01
555,Poli,292.81,24,0,8.48,1.59
556,Kuantan,297.08,88,20,3.82,2.1
